cell,card,family,execution,completed_fits,completed_sft,completed_rft,completed_supervised,aborted_full_intent,self_sample_mix,elapsed_h,card_wall_h,cumulative_training_card_wall_h,training_steps,epochs,rows,decision,count_audited,audit_note,source
c04r03,exp-03,rft,completed,1,1,1,2,1,True,3.6,0.65,1.99,456,1.0,78347.0,adopt,True,"Card pitfalls/relock records an incomplete full-intent launch; aborted count is a known lower bound, not an exhaustive runtime census.",/home/robtang_google_com/gangda_workspace/agentic-world-model/data/ptb/results/claude_vertex_high_awm_claude-opus-5_1m__10h_gangda_wma_evolve_wma-gsm8k-gemma4b-high-r01-ctl-b-x8-v3_c04r03_formal_r4/gsm8k_google_gemma-3-4b-pt_90686/task/memory/cards/exp-03.yaml
c04r03,exp-04,merge,completed,0,1,1,2,0,,5.1,0.35,1.99,,,78347.0,reject,False,,/home/robtang_google_com/gangda_workspace/agentic-world-model/data/ptb/results/claude_vertex_high_awm_claude-opus-5_1m__10h_gangda_wma_evolve_wma-gsm8k-gemma4b-high-r01-ctl-b-x8-v3_c04r03_formal_r4/gsm8k_google_gemma-3-4b-pt_90686/task/memory/cards/exp-04.yaml
c04r03,exp-05,sft,completed,1,2,1,3,0,True,5.2,1.48,3.47,1046,1.0,188347.0,adopt,True,family=sft but input corpus explicitly contains retained self-generated/rejection-sampled rows; preserve raw family and flag mixture.,/home/robtang_google_com/gangda_workspace/agentic-world-model/data/ptb/results/claude_vertex_high_awm_claude-opus-5_1m__10h_gangda_wma_evolve_wma-gsm8k-gemma4b-high-r01-ctl-b-x8-v3_c04r03_formal_r4/gsm8k_google_gemma-3-4b-pt_90686/task/memory/cards/exp-05.yaml
c04r03,exp-06,sft,completed,1,3,1,4,0,True,6.9,1.11,4.58,789,1.0,140000.0,reject,True,family=sft but input corpus explicitly contains retained self-generated/rejection-sampled rows; preserve raw family and flag mixture.,/home/robtang_google_com/gangda_workspace/agentic-world-model/data/ptb/results/claude_vertex_high_awm_claude-opus-5_1m__10h_gangda_wma_evolve_wma-gsm8k-gemma4b-high-r01-ctl-b-x8-v3_c04r03_formal_r4/gsm8k_google_gemma-3-4b-pt_90686/task/memory/cards/exp-06.yaml
c04r03,exp-07,merge,completed,0,3,1,4,0,,8.2,0.35,4.58,,,140000.0,reject,False,,/home/robtang_google_com/gangda_workspace/agentic-world-model/data/ptb/results/claude_vertex_high_awm_claude-opus-5_1m__10h_gangda_wma_evolve_wma-gsm8k-gemma4b-high-r01-ctl-b-x8-v3_c04r03_formal_r4/gsm8k_google_gemma-3-4b-pt_90686/task/memory/cards/exp-07.yaml
c04r04,exp-01,other,completed,0,0,0,0,0,,0.1,0.12,0.0,,,1.0,iterate,False,,/home/robtang_google_com/gangda_workspace/agentic-world-model/data/ptb/results/claude_vertex_high_awm_claude-opus-5_1m__10h_gangda_wma_evolve_wma-gsm8k-gemma4b-high-r01-ctl-b-x8-v3_c04r04_formal_r4/gsm8k_google_gemma-3-4b-pt_90687/task/memory/cards/exp-01.yaml
c04r04,exp-02,sft,completed,1,1,0,1,0,,0.25,1.57,1.57,3102,1.0,99371.0,adopt,False,,/home/robtang_google_com/gangda_workspace/agentic-world-model/data/ptb/results/claude_vertex_high_awm_claude-opus-5_1m__10h_gangda_wma_evolve_wma-gsm8k-gemma4b-high-r01-ctl-b-x8-v3_c04r04_formal_r4/gsm8k_google_gemma-3-4b-pt_90687/task/memory/cards/exp-02.yaml
c04r04,exp-03,decode-config,completed,0,1,0,1,0,,1.95,0.13,1.57,,,1.0,adopt,False,,/home/robtang_google_com/gangda_workspace/agentic-world-model/data/ptb/results/claude_vertex_high_awm_claude-opus-5_1m__10h_gangda_wma_evolve_wma-gsm8k-gemma4b-high-r01-ctl-b-x8-v3_c04r04_formal_r4/gsm8k_google_gemma-3-4b-pt_90687/task/memory/cards/exp-03.yaml
c04r04,exp-04,rft,completed,1,1,1,2,0,,4.05,1.35,2.92,2701,1.0,172918.0,iterate,False,,/home/robtang_google_com/gangda_workspace/agentic-world-model/data/ptb/results/claude_vertex_high_awm_claude-opus-5_1m__10h_gangda_wma_evolve_wma-gsm8k-gemma4b-high-r01-ctl-b-x8-v3_c04r04_formal_r4/gsm8k_google_gemma-3-4b-pt_90687/task/memory/cards/exp-04.yaml
c04r04,exp-05,other,completed,0,1,1,2,0,,5.5,0.42,2.92,,,1.0,reject,False,,/home/robtang_google_com/gangda_workspace/agentic-world-model/data/ptb/results/claude_vertex_high_awm_claude-opus-5_1m__10h_gangda_wma_evolve_wma-gsm8k-gemma4b-high-r01-ctl-b-x8-v3_c04r04_formal_r4/gsm8k_google_gemma-3-4b-pt_90687/task/memory/cards/exp-05.yaml
c04r04,exp-06,merge,completed,0,1,1,2,0,,6.0,0.65,2.92,,,1.0,adopt,False,,/home/robtang_google_com/gangda_workspace/agentic-world-model/data/ptb/results/claude_vertex_high_awm_claude-opus-5_1m__10h_gangda_wma_evolve_wma-gsm8k-gemma4b-high-r01-ctl-b-x8-v3_c04r04_formal_r4/gsm8k_google_gemma-3-4b-pt_90687/task/memory/cards/exp-06.yaml
c04r04,exp-07,other,completed,0,1,1,2,0,,6.6,0.25,2.92,,,1.0,reject,False,,/home/robtang_google_com/gangda_workspace/agentic-world-model/data/ptb/results/claude_vertex_high_awm_claude-opus-5_1m__10h_gangda_wma_evolve_wma-gsm8k-gemma4b-high-r01-ctl-b-x8-v3_c04r04_formal_r4/gsm8k_google_gemma-3-4b-pt_90687/task/memory/cards/exp-07.yaml
c04r04,exp-08,other,completed,0,1,1,2,0,,6.9,0.85,2.92,,,1.0,adopt,False,,/home/robtang_google_com/gangda_workspace/agentic-world-model/data/ptb/results/claude_vertex_high_awm_claude-opus-5_1m__10h_gangda_wma_evolve_wma-gsm8k-gemma4b-high-r01-ctl-b-x8-v3_c04r04_formal_r4/gsm8k_google_gemma-3-4b-pt_90687/task/memory/cards/exp-08.yaml
c04r04,exp-09,sft,completed,2,3,1,4,0,False,7.25,1.35,4.27,243,1.0,8000.0,reject,True,"Hidden first 243/243 schedule fails final save; restart completes epoch1.0. Count 2 SFT fits; final evaluation is n819 suffix, not n500 or standard full1319.",/home/robtang_google_com/gangda_workspace/agentic-world-model/data/ptb/results/claude_vertex_high_awm_claude-opus-5_1m__10h_gangda_wma_evolve_wma-gsm8k-gemma4b-high-r01-ctl-b-x8-v3_c04r04_formal_r4/gsm8k_google_gemma-3-4b-pt_90687/task/memory/cards/exp-09.yaml
c03r04,exp-01,other,completed,0,0,0,0,0,,0.25,0.12,0.0,,,1.0,iterate,False,,/home/robtang_google_com/gangda_workspace/agentic-world-model/data/ptb/results/claude_vertex_high_awm_claude-opus-5_1m__10h_gangda_wma_evolve_wma-gsm8k-gemma4b-high-r01-ctl-c-x8-v2_c03r04_formal-retry1_r3/gsm8k_google_gemma-3-4b-pt_90786/task/memory/cards/exp-01.yaml
c03r04,exp-02,sft,completed,1,1,0,1,0,,0.4,2.4,2.4,1885,2,75000.0,adopt,False,,/home/robtang_google_com/gangda_workspace/agentic-world-model/data/ptb/results/claude_vertex_high_awm_claude-opus-5_1m__10h_gangda_wma_evolve_wma-gsm8k-gemma4b-high-r01-ctl-c-x8-v2_c03r04_formal-retry1_r3/gsm8k_google_gemma-3-4b-pt_90786/task/memory/cards/exp-02.yaml
c03r04,exp-03,decode-config,completed,0,1,0,1,0,,2.95,0.1,2.4,,,75000.0,iterate,False,,/home/robtang_google_com/gangda_workspace/agentic-world-model/data/ptb/results/claude_vertex_high_awm_claude-opus-5_1m__10h_gangda_wma_evolve_wma-gsm8k-gemma4b-high-r01-ctl-c-x8-v2_c03r04_formal-retry1_r3/gsm8k_google_gemma-3-4b-pt_90786/task/memory/cards/exp-03.yaml
c03r04,exp-04,rft,completed,1,1,1,2,0,,3.7,1.62,4.02,1305,2,52951.0,reject,False,,/home/robtang_google_com/gangda_workspace/agentic-world-model/data/ptb/results/claude_vertex_high_awm_claude-opus-5_1m__10h_gangda_wma_evolve_wma-gsm8k-gemma4b-high-r01-ctl-c-x8-v2_c03r04_formal-retry1_r3/gsm8k_google_gemma-3-4b-pt_90786/task/memory/cards/exp-04.yaml
c03r04,exp-05,merge,completed,0,1,1,2,0,,5.6,0.13,4.02,,,52951.0,reject,False,,/home/robtang_google_com/gangda_workspace/agentic-world-model/data/ptb/results/claude_vertex_high_awm_claude-opus-5_1m__10h_gangda_wma_evolve_wma-gsm8k-gemma4b-high-r01-ctl-c-x8-v2_c03r04_formal-retry1_r3/gsm8k_google_gemma-3-4b-pt_90786/task/memory/cards/exp-05.yaml
c03r04,exp-06,other,completed,0,1,1,2,0,,5.75,0.42,4.02,,,75000.0,iterate,False,,/home/robtang_google_com/gangda_workspace/agentic-world-model/data/ptb/results/claude_vertex_high_awm_claude-opus-5_1m__10h_gangda_wma_evolve_wma-gsm8k-gemma4b-high-r01-ctl-c-x8-v2_c03r04_formal-retry1_r3/gsm8k_google_gemma-3-4b-pt_90786/task/memory/cards/exp-06.yaml
c03r04,exp-07,other,completed,0,1,1,2,0,,6.3,0.62,4.02,,,52951.0,adopt,False,,/home/robtang_google_com/gangda_workspace/agentic-world-model/data/ptb/results/claude_vertex_high_awm_claude-opus-5_1m__10h_gangda_wma_evolve_wma-gsm8k-gemma4b-high-r01-ctl-c-x8-v2_c03r04_formal-retry1_r3/gsm8k_google_gemma-3-4b-pt_90786/task/memory/cards/exp-07.yaml
c03r04,exp-08,sft,completed,1,2,1,3,0,True,6.8,0.97,4.99,762,1,60000.0,adopt,True,family=sft but input corpus explicitly contains retained self-generated/rejection-sampled rows; preserve raw family and flag mixture.,/home/robtang_google_com/gangda_workspace/agentic-world-model/data/ptb/results/claude_vertex_high_awm_claude-opus-5_1m__10h_gangda_wma_evolve_wma-gsm8k-gemma4b-high-r01-ctl-c-x8-v2_c03r04_formal-retry1_r3/gsm8k_google_gemma-3-4b-pt_90786/task/memory/cards/exp-08.yaml
c03r05,exp-01,other,completed,0,0,0,0,0,,0.15,0.05,0.0,,,300.0,iterate,False,,/home/robtang_google_com/gangda_workspace/agentic-world-model/data/ptb/results/claude_vertex_high_awm_claude-opus-5_1m__10h_gangda_wma_evolve_wma-gsm8k-gemma4b-high-r01-ctl-c-x8-v2_c03r05_formal-retry1_r3/gsm8k_google_gemma-3-4b-pt_90787/task/memory/cards/exp-01.yaml
c03r05,exp-02,sft,completed,1,1,0,1,0,,0.37,1.43,1.43,2100,2,67173.0,adopt,False,,/home/robtang_google_com/gangda_workspace/agentic-world-model/data/ptb/results/claude_vertex_high_awm_claude-opus-5_1m__10h_gangda_wma_evolve_wma-gsm8k-gemma4b-high-r01-ctl-c-x8-v2_c03r05_formal-retry1_r3/gsm8k_google_gemma-3-4b-pt_90787/task/memory/cards/exp-02.yaml
c03r05,exp-03,rft,completed,1,1,1,2,0,,2.6,2.02,3.45,2889,1,184867.0,iterate,False,,/home/robtang_google_com/gangda_workspace/agentic-world-model/data/ptb/results/claude_vertex_high_awm_claude-opus-5_1m__10h_gangda_wma_evolve_wma-gsm8k-gemma4b-high-r01-ctl-c-x8-v2_c03r05_formal-retry1_r3/gsm8k_google_gemma-3-4b-pt_90787/task/memory/cards/exp-03.yaml
c03r05,exp-04,sft,failed,0,1,1,2,1,True,4.9,0.63,4.08,900,0.65,184867.0,iterate,True,family=sft but input corpus explicitly contains retained self-generated/rejection-sampled rows; preserve raw family and flag mixture.,/home/robtang_google_com/gangda_workspace/agentic-world-model/data/ptb/results/claude_vertex_high_awm_claude-opus-5_1m__10h_gangda_wma_evolve_wma-gsm8k-gemma4b-high-r01-ctl-c-x8-v2_c03r05_formal-retry1_r3/gsm8k_google_gemma-3-4b-pt_90787/task/memory/cards/exp-04.yaml
c03r05,exp-05,sft,completed,1,2,1,3,0,True,5.7,1.0,5.08,1445,0.5,184867.0,reject,True,family=sft but input corpus explicitly contains retained self-generated/rejection-sampled rows; preserve raw family and flag mixture.,/home/robtang_google_com/gangda_workspace/agentic-world-model/data/ptb/results/claude_vertex_high_awm_claude-opus-5_1m__10h_gangda_wma_evolve_wma-gsm8k-gemma4b-high-r01-ctl-c-x8-v2_c03r05_formal-retry1_r3/gsm8k_google_gemma-3-4b-pt_90787/task/memory/cards/exp-05.yaml
c03r05,exp-06,merge,completed,0,2,1,3,0,,5.9,0.35,5.08,,,184867.0,reject,False,,/home/robtang_google_com/gangda_workspace/agentic-world-model/data/ptb/results/claude_vertex_high_awm_claude-opus-5_1m__10h_gangda_wma_evolve_wma-gsm8k-gemma4b-high-r01-ctl-c-x8-v2_c03r05_formal-retry1_r3/gsm8k_google_gemma-3-4b-pt_90787/task/memory/cards/exp-06.yaml
c03r05,exp-07,other,completed,0,2,1,3,0,,7.1,0.45,5.08,,,300.0,adopt,False,,/home/robtang_google_com/gangda_workspace/agentic-world-model/data/ptb/results/claude_vertex_high_awm_claude-opus-5_1m__10h_gangda_wma_evolve_wma-gsm8k-gemma4b-high-r01-ctl-c-x8-v2_c03r05_formal-retry1_r3/gsm8k_google_gemma-3-4b-pt_90787/task/memory/cards/exp-07.yaml
c03r05,exp-08,merge,completed,0,2,1,3,0,,7.6,0.25,5.08,,,184867.0,adopt,False,,/home/robtang_google_com/gangda_workspace/agentic-world-model/data/ptb/results/claude_vertex_high_awm_claude-opus-5_1m__10h_gangda_wma_evolve_wma-gsm8k-gemma4b-high-r01-ctl-c-x8-v2_c03r05_formal-retry1_r3/gsm8k_google_gemma-3-4b-pt_90787/task/memory/cards/exp-08.yaml
c03r06,exp-01,other,completed,0,0,0,0,0,,0.05,0.09,0.0,,,150.0,iterate,False,,/home/robtang_google_com/gangda_workspace/agentic-world-model/data/ptb/results/claude_vertex_high_awm_claude-opus-5_1m__10h_gangda_wma_evolve_wma-gsm8k-gemma4b-high-r01-ctl-c-x8-v2_c03r06_formal-retry1_r3/gsm8k_google_gemma-3-4b-pt_90788/task/memory/cards/exp-01.yaml
c03r06,exp-02,sft,completed,1,1,0,1,0,,0.42,1.82,1.82,1320,2,69946.0,adopt,False,,/home/robtang_google_com/gangda_workspace/agentic-world-model/data/ptb/results/claude_vertex_high_awm_claude-opus-5_1m__10h_gangda_wma_evolve_wma-gsm8k-gemma4b-high-r01-ctl-c-x8-v2_c03r06_formal-retry1_r3/gsm8k_google_gemma-3-4b-pt_90788/task/memory/cards/exp-02.yaml
c03r06,exp-03,decode-config,completed,0,1,0,1,0,,2.4,0.13,1.82,,,150.0,adopt,False,,/home/robtang_google_com/gangda_workspace/agentic-world-model/data/ptb/results/claude_vertex_high_awm_claude-opus-5_1m__10h_gangda_wma_evolve_wma-gsm8k-gemma4b-high-r01-ctl-c-x8-v2_c03r06_formal-retry1_r3/gsm8k_google_gemma-3-4b-pt_90788/task/memory/cards/exp-03.yaml
c03r06,exp-04,rft,completed,1,1,1,2,0,,3.15,0.77,2.59,564,1,58514.0,iterate,False,,/home/robtang_google_com/gangda_workspace/agentic-world-model/data/ptb/results/claude_vertex_high_awm_claude-opus-5_1m__10h_gangda_wma_evolve_wma-gsm8k-gemma4b-high-r01-ctl-c-x8-v2_c03r06_formal-retry1_r3/gsm8k_google_gemma-3-4b-pt_90788/task/memory/cards/exp-04.yaml
c03r06,exp-05,sft,completed,1,2,1,3,0,True,4.2,1.95,4.54,1402,1,149996.0,reject,True,family=sft but input corpus explicitly contains retained self-generated/rejection-sampled rows; preserve raw family and flag mixture.,/home/robtang_google_com/gangda_workspace/agentic-world-model/data/ptb/results/claude_vertex_high_awm_claude-opus-5_1m__10h_gangda_wma_evolve_wma-gsm8k-gemma4b-high-r01-ctl-c-x8-v2_c03r06_formal-retry1_r3/gsm8k_google_gemma-3-4b-pt_90788/task/memory/cards/exp-05.yaml
c03r06,exp-06,merge,completed,0,2,1,3,0,,6.4,0.28,4.54,,,150.0,reject,False,,/home/robtang_google_com/gangda_workspace/agentic-world-model/data/ptb/results/claude_vertex_high_awm_claude-opus-5_1m__10h_gangda_wma_evolve_wma-gsm8k-gemma4b-high-r01-ctl-c-x8-v2_c03r06_formal-retry1_r3/gsm8k_google_gemma-3-4b-pt_90788/task/memory/cards/exp-06.yaml
c03r06,exp-07,other,completed,0,2,1,3,0,,6.8,0.85,4.54,,,500.0,adopt,False,,/home/robtang_google_com/gangda_workspace/agentic-world-model/data/ptb/results/claude_vertex_high_awm_claude-opus-5_1m__10h_gangda_wma_evolve_wma-gsm8k-gemma4b-high-r01-ctl-c-x8-v2_c03r06_formal-retry1_r3/gsm8k_google_gemma-3-4b-pt_90788/task/memory/cards/exp-07.yaml
c03r07,exp-01,decode-config,completed,0,0,0,0,0,,0.15,0.12,0.0,,,10.0,iterate,False,,/home/robtang_google_com/gangda_workspace/agentic-world-model/data/ptb/results/claude_vertex_high_awm_claude-opus-5_1m__10h_gangda_wma_evolve_wma-gsm8k-gemma4b-high-r01-ctl-c-x8-v2_c03r07_formal-retry1_r3/gsm8k_google_gemma-3-4b-pt_90789/task/memory/cards/exp-01.yaml
c03r07,exp-02,sft,completed,1,1,0,1,0,,0.62,2.78,2.78,2208,1.0,110000.0,adopt,False,,/home/robtang_google_com/gangda_workspace/agentic-world-model/data/ptb/results/claude_vertex_high_awm_claude-opus-5_1m__10h_gangda_wma_evolve_wma-gsm8k-gemma4b-high-r01-ctl-c-x8-v2_c03r07_formal-retry1_r3/gsm8k_google_gemma-3-4b-pt_90789/task/memory/cards/exp-02.yaml
c03r07,exp-03,decode-config,completed,0,1,0,1,0,,3.42,0.22,2.78,,,110000.0,adopt,False,,/home/robtang_google_com/gangda_workspace/agentic-world-model/data/ptb/results/claude_vertex_high_awm_claude-opus-5_1m__10h_gangda_wma_evolve_wma-gsm8k-gemma4b-high-r01-ctl-c-x8-v2_c03r07_formal-retry1_r3/gsm8k_google_gemma-3-4b-pt_90789/task/memory/cards/exp-03.yaml
c03r07,exp-04,rft,completed,1,1,1,2,0,,4.72,1.05,3.83,847,1.0,51061.0,adopt,False,,/home/robtang_google_com/gangda_workspace/agentic-world-model/data/ptb/results/claude_vertex_high_awm_claude-opus-5_1m__10h_gangda_wma_evolve_wma-gsm8k-gemma4b-high-r01-ctl-c-x8-v2_c03r07_formal-retry1_r3/gsm8k_google_gemma-3-4b-pt_90789/task/memory/cards/exp-04.yaml
c03r07,exp-05,sft,completed,1,2,1,3,0,,5.97,1.46,5.29,1165,1.0,63117.0,adopt,False,,/home/robtang_google_com/gangda_workspace/agentic-world-model/data/ptb/results/claude_vertex_high_awm_claude-opus-5_1m__10h_gangda_wma_evolve_wma-gsm8k-gemma4b-high-r01-ctl-c-x8-v2_c03r07_formal-retry1_r3/gsm8k_google_gemma-3-4b-pt_90789/task/memory/cards/exp-05.yaml
c03r07,exp-06,sft,completed,1,3,1,4,0,,7.65,1.19,6.48,974,1.0,55000.0,reject,False,,/home/robtang_google_com/gangda_workspace/agentic-world-model/data/ptb/results/claude_vertex_high_awm_claude-opus-5_1m__10h_gangda_wma_evolve_wma-gsm8k-gemma4b-high-r01-ctl-c-x8-v2_c03r07_formal-retry1_r3/gsm8k_google_gemma-3-4b-pt_90789/task/memory/cards/exp-06.yaml
c03r08,exp-01,other,completed,0,0,0,0,0,,0.05,0.05,0.0,,,150.0,iterate,False,,/home/robtang_google_com/gangda_workspace/agentic-world-model/data/ptb/results/claude_vertex_high_awm_claude-opus-5_1m__10h_gangda_wma_evolve_wma-gsm8k-gemma4b-high-r01-ctl-c-x8-v2_c03r08_formal-retry1_r3/gsm8k_google_gemma-3-4b-pt_90790/task/memory/cards/exp-01.yaml
c03r08,exp-02,sft,completed,1,1,0,1,0,,0.75,1.35,1.35,976,2.0,52223.0,adopt,False,,/home/robtang_google_com/gangda_workspace/agentic-world-model/data/ptb/results/claude_vertex_high_awm_claude-opus-5_1m__10h_gangda_wma_evolve_wma-gsm8k-gemma4b-high-r01-ctl-c-x8-v2_c03r08_formal-retry1_r3/gsm8k_google_gemma-3-4b-pt_90790/task/memory/cards/exp-02.yaml
c03r08,exp-03,decode-config,completed,0,1,0,1,0,,1.9,0.35,1.35,,,250.0,adopt,False,,/home/robtang_google_com/gangda_workspace/agentic-world-model/data/ptb/results/claude_vertex_high_awm_claude-opus-5_1m__10h_gangda_wma_evolve_wma-gsm8k-gemma4b-high-r01-ctl-c-x8-v2_c03r08_formal-retry1_r3/gsm8k_google_gemma-3-4b-pt_90790/task/memory/cards/exp-03.yaml
c03r08,exp-04,sft,completed,1,2,0,2,0,,2.3,2.35,3.7,1630,2.0,87775.0,adopt,False,,/home/robtang_google_com/gangda_workspace/agentic-world-model/data/ptb/results/claude_vertex_high_awm_claude-opus-5_1m__10h_gangda_wma_evolve_wma-gsm8k-gemma4b-high-r01-ctl-c-x8-v2_c03r08_formal-retry1_r3/gsm8k_google_gemma-3-4b-pt_90790/task/memory/cards/exp-04.yaml
c03r08,exp-05,rft,completed,2,2,2,4,0,True,5.7,2.35,6.05,731,1.0,77939.0,adopt,True,"Raw traceback occurs at trainer.save_model after training, plus contemporaneous relock identifies a lost full epoch; second run succeeds. Count 2 RFT schedules; first-loop endpoint less directly logged than c02r03.",/home/robtang_google_com/gangda_workspace/agentic-world-model/data/ptb/results/claude_vertex_high_awm_claude-opus-5_1m__10h_gangda_wma_evolve_wma-gsm8k-gemma4b-high-r01-ctl-c-x8-v2_c03r08_formal-retry1_r3/gsm8k_google_gemma-3-4b-pt_90790/task/memory/cards/exp-05.yaml
c03r08,exp-06,merge,completed,0,2,2,4,0,,8.05,0.5,6.05,,,250.0,reject,False,,/home/robtang_google_com/gangda_workspace/agentic-world-model/data/ptb/results/claude_vertex_high_awm_claude-opus-5_1m__10h_gangda_wma_evolve_wma-gsm8k-gemma4b-high-r01-ctl-c-x8-v2_c03r08_formal-retry1_r3/gsm8k_google_gemma-3-4b-pt_90790/task/memory/cards/exp-06.yaml
c01r01,exp-01,other,completed,0,0,0,0,0,,0.1,0.1,0.0,,,1.0,iterate,False,,/home/robtang_google_com/gangda_workspace/agentic-world-model/data/ptb/results/claude_vertex_high_awm_claude-opus-5_1m__10h_gangda_wma_evolve_wma-gsm8k-gemma4b-high-r01-ctl-x8-v1_c01r01_formal_r1/gsm8k_google_gemma-3-4b-pt_90564/task/memory/cards/exp-01.yaml
c01r01,exp-02,sft,completed,1,1,0,1,0,,0.4,2.79,2.79,1408,2.0,95473.0,adopt,False,,/home/robtang_google_com/gangda_workspace/agentic-world-model/data/ptb/results/claude_vertex_high_awm_claude-opus-5_1m__10h_gangda_wma_evolve_wma-gsm8k-gemma4b-high-r01-ctl-x8-v1_c01r01_formal_r1/gsm8k_google_gemma-3-4b-pt_90564/task/memory/cards/exp-02.yaml
c01r01,exp-03,decode-config,completed,0,1,0,1,0,,3.4,0.06,2.79,,,95473.0,adopt,False,,/home/robtang_google_com/gangda_workspace/agentic-world-model/data/ptb/results/claude_vertex_high_awm_claude-opus-5_1m__10h_gangda_wma_evolve_wma-gsm8k-gemma4b-high-r01-ctl-x8-v1_c01r01_formal_r1/gsm8k_google_gemma-3-4b-pt_90564/task/memory/cards/exp-03.yaml
c01r01,exp-04,rft,completed,1,1,1,2,0,,4.4,1.28,4.07,650,1.0,93269.0,reject,False,,/home/robtang_google_com/gangda_workspace/agentic-world-model/data/ptb/results/claude_vertex_high_awm_claude-opus-5_1m__10h_gangda_wma_evolve_wma-gsm8k-gemma4b-high-r01-ctl-x8-v1_c01r01_formal_r1/gsm8k_google_gemma-3-4b-pt_90564/task/memory/cards/exp-04.yaml
c01r01,exp-05,other,completed,0,1,1,2,0,,6.0,0.35,4.07,,,93269.0,adopt,False,,/home/robtang_google_com/gangda_workspace/agentic-world-model/data/ptb/results/claude_vertex_high_awm_claude-opus-5_1m__10h_gangda_wma_evolve_wma-gsm8k-gemma4b-high-r01-ctl-x8-v1_c01r01_formal_r1/gsm8k_google_gemma-3-4b-pt_90564/task/memory/cards/exp-05.yaml
c01r01,exp-06,decode-config,completed,0,1,1,2,0,,6.3,0.1,4.07,,,95473.0,reject,False,,/home/robtang_google_com/gangda_workspace/agentic-world-model/data/ptb/results/claude_vertex_high_awm_claude-opus-5_1m__10h_gangda_wma_evolve_wma-gsm8k-gemma4b-high-r01-ctl-x8-v1_c01r01_formal_r1/gsm8k_google_gemma-3-4b-pt_90564/task/memory/cards/exp-06.yaml
c01r01,exp-07,sft,completed,1,2,1,3,0,,6.3,1.2,5.27,604,1.0,80518.0,iterate,False,,/home/robtang_google_com/gangda_workspace/agentic-world-model/data/ptb/results/claude_vertex_high_awm_claude-opus-5_1m__10h_gangda_wma_evolve_wma-gsm8k-gemma4b-high-r01-ctl-x8-v1_c01r01_formal_r1/gsm8k_google_gemma-3-4b-pt_90564/task/memory/cards/exp-07.yaml
c01r01,exp-08,other,completed,0,2,1,3,0,,7.4,0.1,5.27,,,80518.0,adopt,False,,/home/robtang_google_com/gangda_workspace/agentic-world-model/data/ptb/results/claude_vertex_high_awm_claude-opus-5_1m__10h_gangda_wma_evolve_wma-gsm8k-gemma4b-high-r01-ctl-x8-v1_c01r01_formal_r1/gsm8k_google_gemma-3-4b-pt_90564/task/memory/cards/exp-08.yaml
c01r01,exp-09,merge,completed,0,2,1,3,0,,7.6,0.25,5.27,,,80518.0,reject,False,,/home/robtang_google_com/gangda_workspace/agentic-world-model/data/ptb/results/claude_vertex_high_awm_claude-opus-5_1m__10h_gangda_wma_evolve_wma-gsm8k-gemma4b-high-r01-ctl-x8-v1_c01r01_formal_r1/gsm8k_google_gemma-3-4b-pt_90564/task/memory/cards/exp-09.yaml
c01r02,exp-01,other,completed,0,0,0,0,0,,0.15,0.05,0.0,,,10.0,adopt,False,,/home/robtang_google_com/gangda_workspace/agentic-world-model/data/ptb/results/claude_vertex_high_awm_claude-opus-5_1m__10h_gangda_wma_evolve_wma-gsm8k-gemma4b-high-r01-ctl-x8-v1_c01r02_formal_r1/gsm8k_google_gemma-3-4b-pt_90565/task/memory/cards/exp-01.yaml
c01r02,exp-02,sft,completed,1,1,0,1,1,False,0.6,1.4,1.4,1420,1,83760.0,adopt,True,"Card pitfalls/relock records an incomplete full-intent launch; aborted count is a known lower bound, not an exhaustive runtime census.",/home/robtang_google_com/gangda_workspace/agentic-world-model/data/ptb/results/claude_vertex_high_awm_claude-opus-5_1m__10h_gangda_wma_evolve_wma-gsm8k-gemma4b-high-r01-ctl-x8-v1_c01r02_formal_r1/gsm8k_google_gemma-3-4b-pt_90565/task/memory/cards/exp-02.yaml
c01r02,exp-03,decode-config,completed,0,1,0,1,0,,2.6,0.12,1.4,,,10.0,adopt,False,,/home/robtang_google_com/gangda_workspace/agentic-world-model/data/ptb/results/claude_vertex_high_awm_claude-opus-5_1m__10h_gangda_wma_evolve_wma-gsm8k-gemma4b-high-r01-ctl-x8-v1_c01r02_formal_r1/gsm8k_google_gemma-3-4b-pt_90565/task/memory/cards/exp-03.yaml
c01r02,exp-04,sft,completed,1,2,0,2,0,,2.75,1.5,2.9,1395,1,81279.0,reject,False,,/home/robtang_google_com/gangda_workspace/agentic-world-model/data/ptb/results/claude_vertex_high_awm_claude-opus-5_1m__10h_gangda_wma_evolve_wma-gsm8k-gemma4b-high-r01-ctl-x8-v1_c01r02_formal_r1/gsm8k_google_gemma-3-4b-pt_90565/task/memory/cards/exp-04.yaml
c01r02,exp-05,rft,completed,1,2,1,3,1,True,5.6,0.9,3.8,560,2,17373.0,adopt,True,"Card pitfalls/relock records an incomplete full-intent launch; aborted count is a known lower bound, not an exhaustive runtime census.",/home/robtang_google_com/gangda_workspace/agentic-world-model/data/ptb/results/claude_vertex_high_awm_claude-opus-5_1m__10h_gangda_wma_evolve_wma-gsm8k-gemma4b-high-r01-ctl-x8-v1_c01r02_formal_r1/gsm8k_google_gemma-3-4b-pt_90565/task/memory/cards/exp-05.yaml
