cell,cohort,variant,accuracy,completed_supervised,completed_sft,completed_rft,completed_training_cards,aborted_full_intent_known,training_card_wall_h,manual_heldout_exposure,result_dir,manifest,spec
w07r04,R2 blocking,A+B,0.6997725549658832,3,2,1,3,0,3.63,False,/home/robtang_google_com/gangda_workspace/agentic-world-model/data/ptb/results/claude_vertex_high_awm_claude-opus-5_1m__10h_gangda_wma_evolve_wma-gsm8k-gemma4b-high-r02-ab-format-floor-width-x4-v2_w07r04_formal_r7/gsm8k_google_gemma-3-4b-pt_91010,/home/robtang_google_com/gangda_workspace/agentic-world-model/experiments/posttrainbench/wma-gsm8k-gemma4b-high-r02-ab-format-floor-width-x4-v2.yaml,doc/spec/2026-09-02-wma-round01-online-gsm8k-gemma4b.md
w08r01,R2 blocking,C,0.7323730098559514,2,2,0,2,0,3.16,False,/home/robtang_google_com/gangda_workspace/agentic-world-model/data/ptb/results/claude_vertex_high_awm_claude-opus-5_1m__10h_gangda_wma_evolve_wma-gsm8k-gemma4b-high-r02-c-probe-before-fail-x4-v2_w08r01_formal_r8/gsm8k_google_gemma-3-4b-pt_91014,/home/robtang_google_com/gangda_workspace/agentic-world-model/experiments/posttrainbench/wma-gsm8k-gemma4b-high-r02-c-probe-before-fail-x4-v2.yaml,doc/spec/2026-09-02-wma-round01-online-gsm8k-gemma4b.md
w08r02,R2 blocking,C,0.6982562547384382,3,2,1,3,0,3.62,False,/home/robtang_google_com/gangda_workspace/agentic-world-model/data/ptb/results/claude_vertex_high_awm_claude-opus-5_1m__10h_gangda_wma_evolve_wma-gsm8k-gemma4b-high-r02-c-probe-before-fail-x4-v2_w08r02_formal_r8/gsm8k_google_gemma-3-4b-pt_91021,/home/robtang_google_com/gangda_workspace/agentic-world-model/experiments/posttrainbench/wma-gsm8k-gemma4b-high-r02-c-probe-before-fail-x4-v2.yaml,doc/spec/2026-09-02-wma-round01-online-gsm8k-gemma4b.md
w08r03,R2 blocking,C,0.6474601971190296,3,2,1,3,0,4.04,False,/home/robtang_google_com/gangda_workspace/agentic-world-model/data/ptb/results/claude_vertex_high_awm_claude-opus-5_1m__10h_gangda_wma_evolve_wma-gsm8k-gemma4b-high-r02-c-probe-before-fail-x4-v2_w08r03_formal_r8/gsm8k_google_gemma-3-4b-pt_91022,/home/robtang_google_com/gangda_workspace/agentic-world-model/experiments/posttrainbench/wma-gsm8k-gemma4b-high-r02-c-probe-before-fail-x4-v2.yaml,doc/spec/2026-09-02-wma-round01-online-gsm8k-gemma4b.md
w08r04,R2 blocking,C,0.7937831690674754,3,2,1,3,1,4.88,False,/home/robtang_google_com/gangda_workspace/agentic-world-model/data/ptb/results/claude_vertex_high_awm_claude-opus-5_1m__10h_gangda_wma_evolve_wma-gsm8k-gemma4b-high-r02-c-probe-before-fail-x4-v2_w08r04_formal_r8/gsm8k_google_gemma-3-4b-pt_91023,/home/robtang_google_com/gangda_workspace/agentic-world-model/experiments/posttrainbench/wma-gsm8k-gemma4b-high-r02-c-probe-before-fail-x4-v2.yaml,doc/spec/2026-09-02-wma-round01-online-gsm8k-gemma4b.md
c10r01,R2 blocking,Control,0.8150113722517058,4,3,1,3,0,5.31,False,/home/robtang_google_com/gangda_workspace/agentic-world-model/data/ptb/results/claude_vertex_high_awm_claude-opus-5_1m__10h_gangda_wma_evolve_wma-gsm8k-gemma4b-high-r02-ctl-x4-v2_c10r01_formal_r10/gsm8k_google_gemma-3-4b-pt_90998,/home/robtang_google_com/gangda_workspace/agentic-world-model/experiments/posttrainbench/wma-gsm8k-gemma4b-high-r02-ctl-x4-v2.yaml,doc/spec/2026-09-02-wma-round01-online-gsm8k-gemma4b.md
c10r02,R2 blocking,Control,0.7672479150871873,3,2,1,3,0,5.03,False,/home/robtang_google_com/gangda_workspace/agentic-world-model/data/ptb/results/claude_vertex_high_awm_claude-opus-5_1m__10h_gangda_wma_evolve_wma-gsm8k-gemma4b-high-r02-ctl-x4-v2_c10r02_formal_r10/gsm8k_google_gemma-3-4b-pt_90999,/home/robtang_google_com/gangda_workspace/agentic-world-model/experiments/posttrainbench/wma-gsm8k-gemma4b-high-r02-ctl-x4-v2.yaml,doc/spec/2026-09-02-wma-round01-online-gsm8k-gemma4b.md
c10r03,R2 blocking,Control,0.7020470053070508,2,1,1,2,0,4.61,False,/home/robtang_google_com/gangda_workspace/agentic-world-model/data/ptb/results/claude_vertex_high_awm_claude-opus-5_1m__10h_gangda_wma_evolve_wma-gsm8k-gemma4b-high-r02-ctl-x4-v2_c10r03_formal_r10/gsm8k_google_gemma-3-4b-pt_91000,/home/robtang_google_com/gangda_workspace/agentic-world-model/experiments/posttrainbench/wma-gsm8k-gemma4b-high-r02-ctl-x4-v2.yaml,doc/spec/2026-09-02-wma-round01-online-gsm8k-gemma4b.md
c10r04,R2 blocking,Control,0.6876421531463229,4,2,2,3,0,6.4,False,/home/robtang_google_com/gangda_workspace/agentic-world-model/data/ptb/results/claude_vertex_high_awm_claude-opus-5_1m__10h_gangda_wma_evolve_wma-gsm8k-gemma4b-high-r02-ctl-x4-v2_c10r04_formal_r10/gsm8k_google_gemma-3-4b-pt_91001,/home/robtang_google_com/gangda_workspace/agentic-world-model/experiments/posttrainbench/wma-gsm8k-gemma4b-high-r02-ctl-x4-v2.yaml,doc/spec/2026-09-02-wma-round01-online-gsm8k-gemma4b.md
w09r01,R2 blocking,D,0.7657316148597423,3,2,1,3,0,4.39,False,/home/robtang_google_com/gangda_workspace/agentic-world-model/data/ptb/results/claude_vertex_high_awm_claude-opus-5_1m__10h_gangda_wma_evolve_wma-gsm8k-gemma4b-high-r02-d-checkpoint-precondition-x4-v2_w09r01_formal_r9/gsm8k_google_gemma-3-4b-pt_91024,/home/robtang_google_com/gangda_workspace/agentic-world-model/experiments/posttrainbench/wma-gsm8k-gemma4b-high-r02-d-checkpoint-precondition-x4-v2.yaml,doc/spec/2026-09-02-wma-round01-online-gsm8k-gemma4b.md
w09r02,R2 blocking,D,0.7445034116755117,4,2,2,4,1,4.46,False,/home/robtang_google_com/gangda_workspace/agentic-world-model/data/ptb/results/claude_vertex_high_awm_claude-opus-5_1m__10h_gangda_wma_evolve_wma-gsm8k-gemma4b-high-r02-d-checkpoint-precondition-x4-v2_w09r02_formal_r9/gsm8k_google_gemma-3-4b-pt_91025,/home/robtang_google_com/gangda_workspace/agentic-world-model/experiments/posttrainbench/wma-gsm8k-gemma4b-high-r02-d-checkpoint-precondition-x4-v2.yaml,doc/spec/2026-09-02-wma-round01-online-gsm8k-gemma4b.md
w09r03,R2 blocking,D,0.6884003032600455,3,2,1,3,0,3.96,True,/home/robtang_google_com/gangda_workspace/agentic-world-model/data/ptb/results/claude_vertex_high_awm_claude-opus-5_1m__10h_gangda_wma_evolve_wma-gsm8k-gemma4b-high-r02-d-checkpoint-precondition-x4-v2_w09r03_formal_r9/gsm8k_google_gemma-3-4b-pt_91026,/home/robtang_google_com/gangda_workspace/agentic-world-model/experiments/posttrainbench/wma-gsm8k-gemma4b-high-r02-d-checkpoint-precondition-x4-v2.yaml,doc/spec/2026-09-02-wma-round01-online-gsm8k-gemma4b.md
w10r01,R2 blocking,v0.2,0.6944655041698257,3,2,1,3,0,3.26,False,/home/robtang_google_com/gangda_workspace/agentic-world-model/data/ptb/results/claude_vertex_high_awm_claude-opus-5_1m__10h_gangda_wma_evolve_wma-gsm8k-gemma4b-high-r02-v02-baseline-x4-v2_w10r01_formal_r10/gsm8k_google_gemma-3-4b-pt_90982,/home/robtang_google_com/gangda_workspace/agentic-world-model/experiments/posttrainbench/wma-gsm8k-gemma4b-high-r02-v02-baseline-x4-v2.yaml,doc/spec/2026-09-02-wma-round01-online-gsm8k-gemma4b.md
w10r02,R2 blocking,v0.2,0.7172100075815011,3,2,1,3,0,4.43,False,/home/robtang_google_com/gangda_workspace/agentic-world-model/data/ptb/results/claude_vertex_high_awm_claude-opus-5_1m__10h_gangda_wma_evolve_wma-gsm8k-gemma4b-high-r02-v02-baseline-x4-v2_w10r02_formal_r10/gsm8k_google_gemma-3-4b-pt_90983,/home/robtang_google_com/gangda_workspace/agentic-world-model/experiments/posttrainbench/wma-gsm8k-gemma4b-high-r02-v02-baseline-x4-v2.yaml,doc/spec/2026-09-02-wma-round01-online-gsm8k-gemma4b.md
w10r03,R2 blocking,v0.2,0.7194844579226687,3,3,0,3,1,4.83,False,/home/robtang_google_com/gangda_workspace/agentic-world-model/data/ptb/results/claude_vertex_high_awm_claude-opus-5_1m__10h_gangda_wma_evolve_wma-gsm8k-gemma4b-high-r02-v02-baseline-x4-v2_w10r03_formal_r10/gsm8k_google_gemma-3-4b-pt_90984,/home/robtang_google_com/gangda_workspace/agentic-world-model/experiments/posttrainbench/wma-gsm8k-gemma4b-high-r02-v02-baseline-x4-v2.yaml,doc/spec/2026-09-02-wma-round01-online-gsm8k-gemma4b.md
w10r04,R2 blocking,v0.2,0.7225170583775588,4,3,1,4,0,4.5,False,/home/robtang_google_com/gangda_workspace/agentic-world-model/data/ptb/results/claude_vertex_high_awm_claude-opus-5_1m__10h_gangda_wma_evolve_wma-gsm8k-gemma4b-high-r02-v02-baseline-x4-v2_w10r04_formal_r10/gsm8k_google_gemma-3-4b-pt_90985,/home/robtang_google_com/gangda_workspace/agentic-world-model/experiments/posttrainbench/wma-gsm8k-gemma4b-high-r02-v02-baseline-x4-v2.yaml,doc/spec/2026-09-02-wma-round01-online-gsm8k-gemma4b.md
